file,artist,title,year,genre
Mr Scruff/Mr Scruff - Keep It Unreal/08 Chipmunk.mp3,Mr. Scruff,Chipmunk,1999,""
Mr Scruff/Mr Scruff - Keep It Unreal/07 So Long.mp3,Mr. Scruff,So Long,1999,""
Mr Scruff/Mr Scruff - Keep It Unreal/05 Honeydew.mp3,Mr. Scruff,Honeydew,1999,""
Mr Scruff/Mr Scruff - Keep It Unreal/06 Cheeky.mp3,Mr. Scruff,Cheeky,1999,""
Mr Scruff/Mr Scruff - Keep It Unreal/03 Get A Move On.mp3,Mr. Scruff,Get A Move On,1999,""
Mr Scruff/Mr Scruff - Keep It Unreal/02 Spandex Man.mp3,Mr. Scruff,Spandex Man,1999,""
Mr Scruff/Mr Scruff - Keep It Unreal/13 Travelogue.mp3,Mr. Scruff,Travelogue,1999,""
Mr Scruff/Mr Scruff - Keep It Unreal/09 Do You Hear.mp3,Mr. Scruff,Do You Hear,1999,""
Mr Scruff/Mr Scruff - Keep It Unreal/04 Midnight Feast.mp3,Mr. Scruff,Midnight Feast,1999,""
Mr Scruff/Mr Scruff - Keep It Unreal/11 Jusjus.mp3,Mr. Scruff,Jusjus,1999,""
Mr Scruff/Mr Scruff - Keep It Unreal/10 Shanty Town.mp3,Mr. Scruff,Shanty Town,1999,""
Mr Scruff/Mr Scruff - Keep It Unreal/14 Fish.mp3,Mr. Scruff,Fish,1999,""
Mr Scruff/Mr Scruff - Keep It Unreal/01 Is He Ready.mp3,Mr. Scruff,Is He Ready,1999,""
Tuns/Tuns/01 Back Among Friends.mp3,"","","",""
Tuns/Tuns/05 Look Whos Back In Town Again.mp3,"","","",""
Tuns/Tuns/06 Lonely Life.mp3,"","","",""
Tuns/Tuns/03 Throw It All Away.mp3,"","","",""
Tuns/Tuns/09 I Cant Wait Forever.mp3,"","","",""
Tuns/Tuns/08 To Your Satisfaction.mp3,"","","",""
Tuns/Tuns/04 Mind Over Matter.mp3,"","","",""
Tuns/Tuns/07 Mind Your Manners.mp3,"","","",""
Tuns/Tuns/02 Mixed Messages.mp3,"","","",""
George Benson/George Benson - Best Of George Benson/On Broadway (Live).mp3,George Benson,On Broadway (Live),2003,""
George Benson/George Benson - Best Of George Benson/Lady Love Me (One More Time).mp3,George Benson,Lady Love Me (One More Time),2003,""
George Benson/George Benson - Best Of George Benson/Moody's Mood (with Patti Austin).mp3,George Benson,Moody's Mood (with Patti Austi,2003,""
